title,summary,tags,topic,confidence,low_confidence,compression_ratio,original_length,summary_length
06:44'Once-in-a-Generation' India Signs Free Trade Agreement With New Zealand After a Decade of Talks, Erika Kirk was seen in tears saying “I just want to go home” as gunfire erupted at the White House Correspondents’ Dinner . Top leaders including Donald Trump evacuated and panic gripping the ballroom . Chilling new details about the suspect and the chaos inside are emerging .,khalnayak|entertainmentnews|evacuated|meant|boxofficebuzz,Entertainment,0.8932,False,0.4469,622,278
"04:33'Attack By BJP Goons': TMC MP Mitali Bag’s Car Vandalised In Hooghly, BJP Denies TMC's Charge"," Hezbollah chief Naim Qassem says any path to de-escalation depends on Israel halting military operations, withdrawing from disputed areas . He emphasized that Hezbollah would not disarm, framing the conflict as a struggle for survival . The confrontation has sparked fresh debate over media responsibility, political rhetoric, and security concerns after the chilling attack .",hezbollah|escalation|disarm|cbs|disputed,Politics,0.7144,False,0.3468,1087,377
Popular India Stories," The Iranian Coast Guard fired ""warning shots"" at a Togo-flagged chemical tanker, MT Chiron 7, which had 17 India seafarers . All Indian crew in this ship are safe, shipping ministry official said . Supreme Courton suggested parties in the Rani Kapur-Priya Kapur dispute over the Sona Group family trust explore mediation .",tanker|kapur|chiron|mediation|highlights,Technology,0.276,True,0.5579,579,323
Vande Bharat derailment: Coach slips off tracks at Pune station, TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . Vande Bharat derailment: Coach slips off tracks at Pune station (Source: X@ians_india),journalists|bharat|vande|comprehensive|verifying,Business,0.272,True,0.1935,1535,297
"Raghav Chadha addresses backlash on joining BJP in new video, cites ‘toxic work environment’ in AAP"," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
Ajay Maken says Kejriwal's 7 RS defectors' average worth is Rs 818 crore," Kejriwal's 7 RS defectors' average worth is Rs 818 crore . Ajay Maken says Kejriwal's seven defectors are worth an average worth of Rs 800 crore . Kejriwal says 7 of his 7 defectors were in Delhi, Delhi and Delhi respectively .",crore|defectors|average|818|says,Politics,0.7159,False,3.1667,72,228
"'Why are you fighting? You're 80': SC issues notice in Sunjay Kapur estate dispute, urges meditation"," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
'Conspired with BJP to create neutral image': AAP counters Raghav Chadha’s 'toxic work environment' charge," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
"'Hope of getting justice shattered': Arvind Kejriwal refuses to appear before court, writes to Justice Swarana Kanta"," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
Evening news wrap: Iran attacks tanker with 12 Indian crew; AAP alleges Raghav Chadha-BJP conspiracy & more," TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports on a wide range of topics .",journalists|toi|read|developments|comprises,Business,0.2599,True,0.3312,1277,423
"7 ex-AAP MPs formally join BJP; NDA strength in Rajya Sabha climbs to 148, AAP down to 3"," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
Mamata's counter to PM Modi’s 'jhalmuri' break: A visit to local market ahead of Phase 2 Bengal polls," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
When Raghav Chadha moved bill in 2022 that would have stopped his switch from AAP to BJP," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
"Weak muscles, falling risk: AIIMS study finds gut link in elderly"," Anuja Jaiswal is a Senior Assistant Editor at The Times of India . She specializes in health and heritage reporting, expertly simplifying complex health information to make it engaging and understandable for readers . Her deep dives into heritage topics are well-researched, resulting in captivating narratives that resonate with her audience .",journalism|anuja|jaiswal|captivating|simplifying,Business,0.2625,True,0.3145,1097,345
"With prayers at Kali temple, Modi counters TMC veg claim"," With prayers at Kali temple, Modi counters TMC veg claim claim . Modi says he will pray for Lord Gaudhimaima in Kali temple . Modi also visits Kali temple to take part in his visit to Kali temple in India . Modi's visit comes as part of his bid to woo voters .",tmc|modi|kali|prayers|counters,Politics,0.5961,True,4.6607,56,261
VHP flags minority ‘atrocities’ to UNGA chief ahead of India visit," VHP flags minority ‘atrocities’ to UNGA chief ahead of India visit . Manash Pratim Gohain is a seasoned journalist with over two decades at The Times of India . Renowned for his incisive coverage of the National Education Policy (NEP) 2020, accreditation reforms, and skilling initiatives .",gohain|education|unga|flags|vhp,Politics,0.6187,False,0.1837,1584,291
West Bengal elections: PM Modi pledges citizenship for Matua Namasudras under CAA," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
Calcutta HC changes EC’s 48-hour ban order on bike movement to 12 hours," Calcutta HC changes EC’s 48-hour ban order on bike movement to 12 hours . EC bans bike movement for 48 hours, 12 hours in 12-hour period . EC: Bike movement banned for 12 hours; bike ban to be lifted in 12 hours for 24 hours .",calcutta|ban|bike|ec|hour,Politics,0.3611,True,3.1972,71,227
Kuwait sees first direct flight to India after Feb 28 on Sunday; eyes tentative resumption," Kuwait sees first direct flight to India after Feb 28 on Sunday; eyes tentative resumption . First direct flight from Kuwait to India since Feb 28, 2014, is scheduled to take place on Feb 28 . Kuwaiti air travel to India is the country's largest carrier in the Middle East .",kuwait|flight|tentative|eyes|resumption,Business,0.3086,True,3.0556,90,275
Key suspect in Bengal's Bhangar blast case held by NIA, Key suspect in Bengal's Bhangar blast case held by NIA held by the NIA . NIA says it is investigating the death of key suspect in the attack on Bengal's capital . The incident took place in the state of Bengal in the early hours of Saturday .,bengal|bhangar|nia|blast|suspect,Technology,0.3459,True,4.5,54,243
"ASI misleading court by 'shifting stands' in Bhojshala case, HC told"," ASI misleading court by 'shifting stands' in Bhojshala case, HC told . ASI 'misunderstood' by ASI by 'changing stands' and 'misleading stands' ASI chief ASI told HC that ASI was misleading by shifting 'stands'",bhojshala|asi|court|shifting|misleading,Technology,0.2506,True,3.0882,68,210
"NEET 2026 sees modest rise in applicants, big jump in MBBS seats likely"," NEET 2026 sees modest rise in applicants, big jump in MBBS seats likely . NEET: 2026 will see modest increase in applicants for MBBS . NEet 2026 may see modest rise, but big jump of MBBS seat seats likely likely in coming years .",neet|mbbs|2026|applicants|jump,Business,0.6723,False,3.2394,71,230
Foreign secy Vikram Misri may hold 1st bilateral meet with Balen govt next month, Foreign secy Vikram Misri may hold 1st bilateral meet with Balen govt next month . Foreign minister may hold first bilateral meeting with the Balen government . Foreign secretary to hold bilateral meet next month with Balenburg govt . Foreign ministers to meet in Balenia for first time in a month .,vikram|meet|balen|foreign|bilateral,Politics,0.5761,True,3.75,80,300
India ready to work with China to ease tensions,India ready to work with China to ease tensions,china|tensions|work|ease|ready,Politics,0.4133,True,1.0,47,47
Mystery over death of 4 of Mumbai family hours after having watermelon," Mateen Hafeez, special correspondent at The Times of India in Mumbai, reports on terrorism, underworld, cybercrime and organized crime syndicates . He has covered the Ghatkopar bomb blast, Vile Parle bomb blast and Mulund train blast . He also writes about the jails in Maharashtra and focuses on human interest stories .",hafeez|pune|blasts|ibn|fiction,Technology,0.256,True,0.3379,953,322
Mangaluru cooker blast accused gets 10 years' RI,Mangaluru cooker blast accused gets 10 years' RI,accused|mangaluru|cooker|blast|years,Technology,0.2344,True,1.0,48,48
"Maha mininster stalls action against auto, cab drivers on Marathi issue"," Somit Sen, Senior Editor at The Times of India, Mumbai, covers stories on Power beat in Maharashtra and on Oil &amp; Gas . He also covers RTO, BEST (Mumbai’s public transport buses), transport ministry, Maharashtra State Road Transport Corporation, interstate transport (trucks/tempos) and the fleetcabs .",somit|maharashtra|rto|transport|power,Business,0.4115,True,0.4849,631,306
Rajya Sabha chairman accepts merger of 7 AAP MPs with BJP," Rajya Sabha chairman accepts merger of 7 AAP MPs with BJP . AAP MPs to be merged with BJP in a bid to win support of 7 seats in the Lok Sabha . BJP MPs to join the party from AAP, which has seven members of the party in India .",sabha|merger|rajya|aap|accepts,Politics,0.8082,False,4.0,57,228
Royal Bengal battle in the offing as Suvendu takes on Didi at Bhowanipore," Subhro Niyogi is a Senior Assistant Editor at The Times of India, and his job responsibilities include reporting, editing and coordination of news and news features . His hobbies include photography, driving and reading, and he enjoys driving and photography .",niyogi|subhro|editor|reporting|driving,Entertainment,0.3501,True,0.5711,457,261
Gunfire and stone pelting just hours before PM rally," Gunfire and stone pelting just hours before PM rally hours before rally . Gunfire, stone pelts and clashes erupt hours before the rally . PM's rally comes just hours after he vows to take PM-electial oath of oath of office .",gunfire|pelting|stone|rally|hours,Politics,0.7922,False,4.3269,52,225
Video showing officer’s threats to TMC pick’s kin sparks row," Video showing officer's threats to TMC pick’s kin sparks row . Video showing officers’ threats sparks row over police presence in TMC . Video shows officer’�s threats to the TMC picks' kin . Video also shows officer threatening to harm TMC nominee's kin, police say .",tmc|officer|video|sparks|pick,Technology,0.3336,True,4.4667,60,268
"In Matua heartland, Abhishek hammers on BJP's 'betrayal'"," In Matua heartland, Abhishek hammers on BJP's 'betrayalal' Abhisheshek: 'I have been a victim of the BJP's betrayal' Heavily criticising the BJP for its 'betraysal' in the state .",bjp|abhishek|hammers|betrayal|matua,Politics,0.8783,False,3.2143,56,180
"Rajnath lands in Kyrgyzstan to attend SCO def ministers meet, may discuss West Asia crisis"," Rajnath lands in Kyrgyzstan to attend SCO def ministers meet, may discuss West Asia crisis . SCO ministers meet to discuss the crisis in West Asia, may also discuss West Asian crisis . Rajanath to attend the meeting of the SCO Def ministers . He will also attend the summit of the Organisation of Security Council members of the region .",rajnath|kyrgyzstan|sco|meet|lands,Politics,0.6064,False,3.7556,90,338
"Didi’s clarion call: Queue up once more, teach BJP lesson"," Tamaghna Banerjee, a reporter from Kolkata, covers crime, aviation, human rights and politics . He has a keen interest in human interest and rural reporting . The reporter has done his postgraduation in journalism and mass communication .",banerjee|journalism|tamaghna|postgraduation|14,Politics,0.6553,False,0.4322,553,239
India hands over two search-rescue watercraft to Sri Lanka, India hands over two search-rescue watercraft to Sri Lanka . Sri Lanka hands over search-recovery watercrafts to the island nation . India also hands over a pair of watercraft for Sri Lankan rescuers . Sri Lankans are known for their efforts to save their loved ones from drowning .,lanka|watercraft|rescue|search|hands,Technology,0.6048,False,4.8793,58,283
"West Bengal polls: Shah urges people to vote fearlessly, says central forces will stay back for 60 days"," Shah urges people to vote fearlessly, says central forces will stay back for 60 days . Shah: West Bengal polls to be held in West Bengal on November 22 . Shah urges West Bengal people to 'vote fearlessly' in state of West Bengal .",bengal|vote|fearlessly|urges|forces,Politics,0.8568,False,2.2427,103,231
"Will be back soon for oath ceremony of Bengal’s 1st BJP govt, asserts Modi"," Rohit Khanna covers sectors like government finance, economy, industry and issues related to financial crime . Khanna also covers issues of financial crime in his new book, The World's Financiest Offrication Project, which he has published in New York .",sectors|khanna|rohit|crime|covers,Business,0.5828,True,1.1598,219,254
J&K HC quashes AAP leader Mehraj Malik’s PSA detention," J&K HC quashes AAP leader Mehraj Malik’s PSA detention . J&JHC quashes a petition filed by the state legislature seeking to quash the detention of Malik . Malik is a member of the state's ruling ruling body, the Supreme Court quashes his detention .",detention|malik|mehraj|psa|aap,Politics,0.8235,False,4.6296,54,250
Ladakh expands from 2 to 7 districts ahead of Amit Shah's visit, Ladakh expands from 2 to 7 districts ahead of Amit Shah's visit . Amit Shah visits Ladakh ahead of his visit . Ladakh expanded from 2 districts to seven districts . Shah visited Ladakh in Dharam district of Dhabar district .,ladakh|expands|districts|amit|visit,Politics,0.4972,True,3.5714,63,225
Death bridges LoC divide as relatives in PoK bid farewell across river, Death bridges LoC divide as relatives in PoK bid farewell across river across river . PoK is located in the border region between Kashmir and the border with Pakistan . PoC is located between the border and border between Kashmiri and Pakistan .,bridges|death|relatives|loc|divide,Politics,0.5648,True,3.5143,70,246
NIA court extends separatist Shabir Shah’s custody in 1996 mob violence case till May 6, NIA court extends separatist Shabir Shah’s custody in 1996 mob violence case till May 6 . NIA extends separatist's custody in custody in India-Pakistan separatist case . Shah was arrested in 1996 rioting incident in Pakistan-Afghanistan border clash .,custody|shabir|nia|separatist|mob,Technology,0.3655,True,2.8966,87,252
J&K bans education group Siraj-ul-Uloom over ‘Jamaat links’, J&K bans education group Siraj-ul-Uloom over ‘Jamaat links’ over 'links’ to Jamaatism . J&J bans education groups Sirajul- Uloom over 'jamaat' links .,siraj|jamaat|ul|education|links,Politics,0.749,False,2.5593,59,151
"From 25kg fish to plastic EVM, candidates bring out all props and pull out all stops on last day of campaign"," Candidates bring out all props and pull out all stops on last day of campaign . From 25kg fish to plastic EVM, candidates bring out everything from plastic EVMs to fish tanks . Candidates pull out the full range of props, including fish, plastic fish and even plastic fish .",campaign|evm|fish|bring|25kg,Politics,0.5336,True,2.5463,108,275
"'Don't cry later': UP encounter specialist on Bengal poll duty warns TMC candidate, video triggers big row"," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
"Ladakh gets five new districts, LG Saxena approves notification"," Ladakh gets five new districts, LG Saxena approves notification of new districts . Ladakh has five districts, five districts and five districts . LGSaxena approved notification for new districts in Ladakh . LG Saxen approves notification for five districts of Ladakh, five more districts .",ladakh|saxena|districts|notification|lg,Politics,0.3774,True,4.6032,63,290
CBSE snaps Puducherry’s French connection in schools, CBSE snaps Puducherry’s French connection in schools . CBSE: Puduherry is a French-speaking community in the state of India . The state has been in touch with the French community for more than a decade .,cbse|french|puducherry|schools|snaps,Entertainment,0.3913,True,3.9423,52,205
Supreme Court issues notice on pensionary claim of 2nd wife of deceased official, Supreme Court issues notice on pensionary claim of 2nd wife of deceased official . Supreme Court orders pensionary pensionary claims made by second wife of dead official . Court will hear case in the next two weeks on whether she can claim pensionary benefits .,pensionary|wife|notice|official|supreme,Politics,0.32,True,3.275,80,262
"India submits new climate action pledges to UN body, flags conditions to fulfill promise"," Vishwa Mohan is Senior Editor at The Times of India . He writes on environment, climate change, agriculture, water resources and clean energy . He has been covering Parliament since 2003 to see how politics shaped up domestic policy and India’s position at global platform .",mohan|climate|parliament|investigative|change,Politics,0.75,False,0.285,965,275
Actor Suniel Shetty praised the preparations for the Char Dham Yatra, Suniel Shetty praised the preparations for the Char Dham Yatra . Actor Suniel Shetheti praised the preparation for the trip . The actor also praised the efforts of his friends and family members of the Hindu pilgrims in India . The Hindu pilgrims are expected to make a pilgrimage to the holy site .,dham|suniel|yatra|char|preparations,Entertainment,0.7438,False,4.4118,68,300
Study of fossil sites in TN may fill under-explored gap in India’s prehistoric record," Study of fossil sites in TN may fill under-explored gap in India’s prehistoric record . Vishwa Mohan is Senior Editor at The Times of India . He writes on environment, climate change, agriculture, water resources and clean energy .",fossil|mohan|climate|tn|parliament,Politics,0.5864,True,0.1906,1217,232
Powering every stride: The partner ecosystem behind the Times Internet Half Marathon," The Times Internet Half Marathon is powered by the partner ecosystem behind the race . The race will take place in New York City, Washington, Washington and Washington, D.C. The event is the first of its kind in the U.S. to host a half marathon .",marathon|partner|half|powering|ecosystem,Sports,0.6851,False,2.9405,84,247
UP fuel supply under strain? Rising demand and LPG delays surface in three weeks," When he's not chasing stories, you’ll likely find him exploring food lanes, indulging in mutton delicacies and sundaes . His work has earned him the Times Scribe Award four times . From railways and aviation to defence, infrastructure, social development and various other diverse beats, his reportage reflects depth .",journalist|indulging|sundaes|railways|likely,Entertainment,0.3373,True,0.3914,815,319
AIIMS Delhi assigns interim charge of Director to Dr Nikhil Tandon," Anuja Jaiswal is a Senior Assistant Editor at The Times of India . She specializes in health and heritage reporting, expertly simplifying complex health information to make it engaging and understandable for readers . Her deep dives into heritage topics are well-researched, resulting in captivating narratives that resonate with her audience .",journalism|anuja|jaiswal|captivating|simplifying,Business,0.2625,True,0.3145,1097,345
"04:33TMC MP Mitali Bag’s car vandalised, windshield smashed; party blames BJP, alleges 'attempt on her life'"," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
"Lokmat Sur Jyotsna Awards pay tribute to classical music; Sumitra Guha, Laxman Pandit honoured"," Lokmat Sur Jyotsna Awards pay tribute to classical music . Sumitra Guha, Laxman Pandit honoured for their work in India . Sumi Guha and Laxan Pandit among those honoured for classical music at awards .",pandit|awards|classical|lokmat|guha,Entertainment,0.3884,True,2.1489,94,202
7 in 10 heart failure patients in India lack financial cover; treatment costs push families to brink," Anuja Jaiswal is a Senior Assistant Editor at The Times of India . She specializes in health and heritage reporting, expertly simplifying complex health information to make it engaging and understandable for readers . Her deep dives into heritage topics are well-researched, resulting in captivating narratives that resonate with her audience .",journalism|anuja|jaiswal|captivating|simplifying,Business,0.2625,True,0.3145,1097,345
"'Good bye tukde-tukde INDI alliance': Kiren Rijiju on Raghav Chadha, 6 AAP MPs joining BJP"," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
"‘Broke iron mesh, pelted stones’: FIR after mazaar vandalised, 'chadar' burnt in UP’s Shahjahanpur"," The TOI News Desk comprises a dedicated and tireless team of journalists who operate around the clock to deliver the most current and comprehensive news and updates to the readers of The Times of India worldwide . With an unwavering commitment to excellence in journalism, our team is at the forefront of gathering, verifying, and presenting breaking news, in-depth analysis, and insightful reports .",journalists|toi|read|developments|comprises,Entertainment,0.2654,True,0.3155,1271,401
April Public Holidays, A Mutual Fund Calculator helps estimate the future value of investments . Determine the monthly installment amount for a loan . Estimate the returns on investments made through SIPs . Find out maturity amount and interest earned on PPF and FDs .,investments|nps|determine|fd|monthly,Technology,0.4364,True,0.7214,341,246
MI vs PBKS Highlights," MI vs PBKS: Ryan Rickelton, Quinton de Kock, Suryakumar Yadav, Priyansh Arya Prabhsimran Singh, Cooper Connolly . MI will take on PBKS in IPL 2026 .",prediction|pbks|tap|singh|mi,Sports,0.7847,False,0.7233,206,149
RCB vs DC Highlights," Royal Challengers Bengaluru beat Delhi Capitals by nine wickets in IPL 2026 . Bhuvneshwar Kumar and Josh Hazlewood took 4/12 in 3.3 overs for RCB . Delhi Capitals collapse to 75 in defeat at Chinnaswamy . Punjab Kings take on Rajasthan Royals in New Chandigarh on Tuesday, 28th April .",wickets|rcb|unstoppable|bethell|stay,Business,0.2889,True,0.0177,16141,286
IPL 2026 Points Table,IPL 2026 Points Table,ipl|points|table|2026,Sports,0.9406,False,1.0,21,21
Austin Reaves Injury Update," Lachit Roy is a sports writer at The Times of India, where he covers the NBA, WWE, and other major international sporting events . With over five years of experience across different media houses, he has developed expertise in reporting, analysis, and storytelling . Beyond sports, he is passionate about movies and enjoys gardening in his free time .",lachit|journalism|sporting|tezpur|enjoys,Sports,0.6994,False,0.3356,1049,352
Who is Tiffany Suarez,Who is Tiffany Suarez,tiffany|suarez,Entertainment,0.4635,True,1.0,21,21
Bengal Opinion polls,Bengal Opinion polls,bengal|polls|opinion,Politics,0.3934,True,1.0,20,20
New England Patriots," Mahima Roy is a seasoned sports writer who covers the NFL and NBA with a mix of passion, insight, and storytelling . When she’s not working, she immerses herself in the world of pop culture, from dissecting iconic films to tracking the latest in hip-hop and sports documentaries . For Mahima, it's all about the stories on the field and beyond .",sports|mahima|writer|iconic|insight,Sports,0.6547,False,0.3549,975,346
Lowest Score in IPL History," At TOI Sports Desk, reporters work around the clock to bring you comprehensive updates from the world of sports . Expect nuanced match reports, previews, and reviews, along with statistics-based technical analysis, the latest social media trends, and expert insights across cricket, football, tennis, badminton, hockey, wrestling, boxing, shooting, athletics, and more .",sports|reporters|toi|previews|bring,Sports,0.7673,False,0.475,781,371
Orange Cap Holder in IPL 2026,Orange Cap Holder in IPL 2026,cap|ipl|holder|orange|2026,Sports,0.9048,False,1.0,29,29
